"code","description","class","row"
"Petrolratio","Petroleum, coal, chemical etc","baseind",572
"Nonmratio","Non-metallic mineral product","baseind",573
"Metalratio","Metal product","baseind",574
"Machratio","Machinery and equipment","baseind",575
"Utilratio","Utilities","baseind",576
"Consratio","Construction","baseind",577
"Wholeratio","Wholesale and retail trade","baseind",578
"Transratio","Transport and storage","baseind",579
"Inforatio","Information services","baseind",580
"Finratio","Finance and Insurance services","baseind",581
"Propratio","Property services","baseind",582
"Pubratio","Public Administration","baseind",583
"Recratio","Recreational services","baseind",584
"Educratio","Education","baseind",585
"Healratio","Health","baseind",586
"Dwelratio","Dwellings","baseind",587
"Servicesratio","Service sectors","baseind",588
"NSWGSPlev","Gross state product","Basestat",589
