equation,term,estimate,std_error
PconsExrent,c2,-0.06642303848463613,0.01833987936254497
PconsExrent,c3,0.7449932368930475,0.024725934841152986
PconsExrent,c4,-0.008675509719512016,0.005090293361959083
PconsExrent,c5,0.046161211827329025,0.02374958813940009
PconsExrent,c6,0.026402631205170758,0.012402863334697404
PconsExrent,c9,0.02068359386889562,0.0035505182399744165
PconsExrent,c10,-0.011438760280417555,0.00801361995033746
Ppcd,c1,0.8000397258663371,0.004815515315341399
Xsvc,c1,-0.8857778688542031,0.3505387198018968
Xsvc,c2,-0.08712067107466473,0.036377526668970095
Xsvc,c3,-0.007678074417079418,0.012722242653758454
Xsvc,c4,0.6405864827866339,0.16435083675378978
Xsvc,c5,-0.002655178904730689,0.002796669950981215
Xsvc,c6,1.3874925285631052,0.44523236264708743
Xsvc,c7,0.25893464560886725,0.030034932085534864
Xsvc,c8,-0.12092032600009779,0.024696009524379982
Xsvc,c9,-0.15615005255733935,0.0426655551153641
Xsvc,c10,-0.11978506423684071,0.02703326418282127
Mtot,c1,-0.04180971497339374,0.013780562415897464
Mtot,c2,-0.08852101033285428,0.022988460897841224
Mtot,c3,-1.095851314646696,0.062470994044114596
Mtot,c4,1.3600143329421177,0.14401443282863313
Mtot,c5,0.5806940119011584,0.14227514263771238
Mtot,c6,-21.48755161078225,4.815637761514356
Rcash,c1,0.3,
Rcash,c2,-2,
Rcash,c3,1,
Rcash,c4,-1,
Rcash,log_sig_state,-4.198820428615913,0.17687692052048942
Rcash,log_sig_obs,-4.8524239545192485,0.08222220352993329
R10y,c1,-1.9401639102068478e-4,4.1478758517090805e-4
R10y,d_rat,0.007184660960957755,0.016424568152367626
R10y,d_r90,0.060746371699714585,0.026597637541372513
