date,variable,actual,simulated
2019-03-01,R90d,0.019533,0.05798544841542153
2019-06-01,R90d,0.015033,0.06025925519784304
2019-09-01,R90d,0.010233,0.06169009005241907
2019-12-01,R90d,0.008967,0.060498038455768066
2020-03-01,R90d,0.0077,0.05703972700470052
2020-06-01,R90d,0.001233,0.024174689504756743
2020-09-01,R90d,9.67e-4,0.06011988574494869
2020-12-01,R90d,3.67e-4,0.029654135488589146
2021-03-01,R90d,1.67e-4,0.037250437757793214
2021-06-01,R90d,3.67e-4,0.05578703838480458
2021-09-01,R90d,1.33e-4,0.07117645786256857
2021-12-01,R90d,4.67e-4,0.08024568458115462
2022-03-01,R90d,0.001033,0.09270410643754426
2022-06-01,R90d,0.010033,0.10096027560040455
2022-09-01,R90d,0.0238,0.10455987573607893
2022-12-01,R90d,0.0306,0.1084967156648386
2023-03-01,R90d,0.034733,0.107884487310394
2023-06-01,R90d,0.039367,0.10895766944327874
2023-09-01,R90d,0.041933,0.10969923847336044
2023-12-01,R90d,0.043133,0.10694137477453115
2024-03-01,R90d,0.043467,0.1055945064689178
2024-06-01,R90d,0.043733,0.10466055010437153
2024-09-01,R90d,0.0442,0.1078653466546711
2024-12-01,R90d,0.044233,0.10348993147918366
2010-03-01,R10y,0.0555166666666667,0.05517715224815427
2010-06-01,R10y,0.0553416666666667,0.0557859791685002
2010-09-01,R10y,0.0503916666666667,0.056365712296852756
2010-12-01,R10y,0.0533916666666667,0.05673814036763848
2011-03-01,R10y,0.0552166666666667,0.056992155417461825
2011-06-01,R10y,0.053325,0.056621148783179386
2011-09-01,R10y,0.0457166666666667,0.05648076512619866
2011-12-01,R10y,0.040925,0.056543946520910396
2012-03-01,R10y,0.0397166666666667,0.05597809674507705
2012-06-01,R10y,0.0337666666666667,0.055812277392697854
2012-09-01,R10y,0.0305583333333333,0.05536915568541196
2012-12-01,R10y,0.031125,0.054980676256545756
2013-03-01,R10y,0.0346916666666667,0.05396859310175404
2013-06-01,R10y,0.03235,0.05122406218481051
2013-09-01,R10y,0.0369183333333333,0.049589506995215415
2013-12-01,R10y,0.0414866666666667,0.04827537833295585
2014-03-01,R10y,0.04118,0.04663229690607961
2014-06-01,R10y,0.0384033333333333,0.04481612013949393
2014-09-01,R10y,0.0349633333333333,0.04363250145029786
2014-12-01,R10y,0.0320066666666667,0.04256678378933338
2015-03-01,R10y,0.02529,0.0415483190437161
2015-06-01,R10y,0.02759,0.04097008375351804
2015-09-01,R10y,0.0279466666666667,0.040418693367019885
2015-12-01,R10y,0.0279933333333333,0.04008862218680583
2016-03-01,R10y,0.02578,0.039925368639156245
2016-06-01,R10y,0.0231966666666667,0.040303492172194116
2016-09-01,R10y,0.01944,0.04075696427651989
2016-12-01,R10y,0.0252166666666667,0.04157773467423189
2017-03-01,R10y,0.02751,0.04250388541496194
2017-06-01,R10y,0.0250866666666667,0.04366395547510958
2017-09-01,R10y,0.0266666666666667,0.04436564805250382
2017-12-01,R10y,0.0263866666666667,0.045311776546988106
2018-03-01,R10y,0.0276833333333333,0.04614758340863103
2018-06-01,R10y,0.0274033333333333,0.04662994490616569
2018-09-01,R10y,0.0261933333333333,0.0473483625176677
2018-12-01,R10y,0.0259866666666667,0.04798302341113008
2019-03-01,R10y,0.02118,0.04849581038438143
2019-06-01,R10y,0.0163533333333333,0.049110816766339896
2019-09-01,R10y,0.0110466666666667,0.049770116896600804
2019-12-01,R10y,0.0113033333333333,0.05031223407222519
2020-03-01,R10y,0.01009,0.050608298608026354
2020-06-01,R10y,0.00895,0.048898785627424605
2020-09-01,R10y,0.00898666666666667,0.0494777618308092
2020-12-01,R10y,0.00878,0.04817671057093239
2021-03-01,R10y,0.0136466666666667,0.04742367821215253
2021-06-01,R10y,0.0162233333333333,0.047841990395433895
2021-09-01,R10y,0.0122366666666667,0.04916127538302758
2021-12-01,R10y,0.0170833333333333,0.05093801348637125
2022-03-01,R10y,0.0216633333333333,0.05334559321968685
2022-06-01,R10y,0.0338533333333333,0.05608694312259539
2022-09-01,R10y,0.0351233333333333,0.05885790253432317
2022-12-01,R10y,0.03722,0.06167681443861813
2023-03-01,R10y,0.0359133333333333,0.06426559579461413
2023-06-01,R10y,0.0358633333333333,0.06674182606082238
2023-09-01,R10y,0.04125,0.06909318517428227
2023-12-01,R10y,0.04466,0.07111683745950942
2024-03-01,R10y,0.0411133333333333,0.07292047144486286
2024-06-01,R10y,0.0427833333333333,0.07454410537808964
2024-09-01,R10y,0.0407466666666667,0.07625008390497277
2024-12-01,R10y,0.0437466666666667,0.0775748639815197
2010-03-01,Rmort,0.067233,0.08162393149011152
2010-06-01,Rmort,0.073066999999999993,0.08933958545060601
2010-09-01,Rmort,0.0739,0.09004339530015407
2010-12-01,Rmort,0.076567,0.08850214916246461
2011-03-01,Rmort,0.0779,0.08702130434405411
2011-06-01,Rmort,0.0779,0.08038958008654387
2011-09-01,Rmort,0.0779,0.08022158359313841
2011-12-01,Rmort,0.075467,0.08331952018544454
2012-03-01,Rmort,0.0736,0.0777340617304877
2012-06-01,Rmort,0.0709,0.07920441493485171
2012-09-01,Rmort,0.0683,0.07788195108388415
2012-12-01,Rmort,0.065733,0.07720771248515525
2013-03-01,Rmort,0.0644,0.07067125574128304
2013-06-01,Rmort,0.062667,0.04905839713446809
2013-09-01,Rmort,0.060133,0.0514171948426006
2013-12-01,Rmort,0.0593,0.057515118306553197
2014-03-01,Rmort,0.0593,0.05410703229626387
2014-06-01,Rmort,0.0593,0.04951510990395101
2014-09-01,Rmort,0.0593,0.05388719548218556
2014-12-01,Rmort,0.0593,0.056609395013183496
2015-03-01,Rmort,0.057567,0.05677426130592988
2015-06-01,Rmort,0.0553,0.06091088969084127
2015-09-01,Rmort,0.054567,0.06267346592134089
2015-12-01,Rmort,0.055733,0.06496884898151739
2016-03-01,Rmort,0.0563,0.06768902121528715
2016-06-01,Rmort,0.0547,0.07438207395035829
2016-09-01,Rmort,0.053033,0.07818549497040733
2016-12-01,Rmort,0.0526,0.08340947607864191
2017-03-01,Rmort,0.052667,0.08739140757562877
2017-06-01,Rmort,0.052667,0.09186650310729282
2017-09-01,Rmort,0.0522,0.08974657015362976
2017-12-01,Rmort,0.0522,0.09192262653680379
2018-03-01,Rmort,0.0522,0.09328603746655631
2018-06-01,Rmort,0.0522,0.0905866242349504
2018-09-01,Rmort,0.0525,0.09281084823966743
2018-12-01,Rmort,0.0534,0.09415456995621076
