equation,term,estimate,std_error
Xsvc,c1,-0.7603169122870411,0.3318290731076969
Xsvc,c2,-0.07195447143978609,0.03396723311789194
Xsvc,c3,-0.014805542105236043,0.016660939027606708
Xsvc,c4,0.7359786509829256,0.21988848082942195
Xsvc,c5,-0.0029946150808901027,0.0027851783611756485
Xsvc,c6,1.498175810204358,0.44374243190162094
Xsvc,c7,0.25478763106552255,0.029921694125779365
Xsvc,c8,-0.12349062895491453,0.024711445646299193
Xsvc,c9,-0.14897769762032756,0.04272056851764722
Xsvc,c10,-0.12147504518176404,0.027180395340630013
Mtot,c1,-0.039451340610526006,0.01327424857257003
Mtot,c2,-0.08632535597084895,0.02254829993092657
Mtot,c3,-1.1054379506664065,0.062499371043163714
Mtot,c4,1.3605840039722188,0.14237301241229752
Mtot,c5,0.5795296778081627,0.14065091988626807
Mtot,c6,-21.47983105845444,4.759135575532541
Rcash,c1,0.07860412149313446,0.04006257823605641
Rcash,c2,-3.6135232330500027,1.799315274004147
Rcash,c3,-0.4768631690336219,0.6648039064336871
Rcash,c4,-0.6956287067857632,0.19451678345887807
Rcash,log_sig_state,-5.76329519353847,0.5487603748608125
Rcash,log_sig_obs,-4.816833719568889,0.052456782367206266
R10y,c1,7.979057209120381e-4,4.821928278052527e-4
R10y,d_rat,0.09223098264165712,0.023088361452497232
R10y,d_r90,0.05310276512054327,0.02602022981601953
